Time,CH1,CH2,CH3,CH4
2,0.909297,3.141593,1.570796,0.582585
3,0.141120,3.141593,1.570796,0.703498
4,-0.756802,3.141593,1.570796,0.688460
5,-0.958924,2.566371,0.995574,0.511563
6,-0.279415,0.566371,1.004426,0.730416
7,0.656987,1.433629,0.137167,0.721193
8,0.989358,3.141593,1.570796,0.430302
9,0.412118,3.141593,1.570796,0.742714
10,-0.544021,3.141593,1.570796,0.739492
11,-0.999990,3.132741,1.561945,0.340429
12,-0.536573,1.132741,0.438055,0.740147
13,0.420167,0.867259,0.703538,0.742990
14,0.990607,2.867259,1.296462,0.424918
15,0.650288,3.141593,1.570796,0.722765
16,-0.287903,3.141593,1.570796,0.731617
17,-0.961397,3.141593,1.570796,0.506767
18,-0.750987,1.699112,0.128316,0.690918
19,0.149877,0.300888,1.269908,0.705600
20,0.912945,2.300888,0.730092,0.578473
21,0.836656,3.141593,1.570796,0.645242
22,-0.008851,3.141593,1.570796,0.665461
23,-0.846220,3.141593,1.570796,0.638601
24,-0.905578,2.265482,0.694686,0.586651
25,-0.132352,0.265482,1.305314,0.701341
26,0.762558,1.734518,0.163721,0.685948
27,0.956376,3.141593,1.570796,0.516319
28,0.270906,3.141593,1.570796,0.729157
29,-0.663634,3.141593,1.570796,0.719565
30,-0.988032,2.831853,1.261057,0.435652
31,-0.404038,0.831853,0.738943,0.742380
32,0.551427,1.168147,0.402649,0.738779
33,0.999912,3.141593,1.570796,0.346266
34,0.529083,3.141593,1.570796,0.740743
35,-0.428183,3.141593,1.570796,0.743208
36,-0.991779,3.141593,1.570796,0.419501
37,-0.643538,1.398224,0.172573,0.724281
38,0.296369,0.601776,0.969020,0.732761
39,0.963795,2.601776,1.030980,0.501932
40,0.745113,3.141593,1.570796,0.693322
41,-0.158623,3.141593,1.570796,0.707647
42,-0.916522,3.141593,1.570796,0.574316
43,-0.831775,1.964594,0.393798,0.648487
44,0.017702,0.035406,1.535391,0.668371
45,0.850904,2.035406,0.464609,0.635206
46,0.901788,3.141593,1.570796,0.590671
47,0.123573,3.141593,1.570796,0.699128
48,-0.768255,3.141593,1.570796,0.683382
49,-0.953753,2.530965,0.960169,0.521034
50,-0.262375,0.530965,1.039831,0.727842
51,0.670229,1.469035,0.101761,0.717880
52,0.986628,3.141593,1.570796,0.440968
53,0.395925,3.141593,1.570796,0.741987
54,-0.558789,3.141593,1.570796,0.738009
55,-0.999755,3.097336,1.526539,0.352076
56,-0.521551,1.097336,0.473461,0.741282
57,0.436165,0.902664,0.668132,0.743367
58,0.992873,2.902664,1.331868,0.414051
59,0.636738,3.141593,1.570796,0.725740
60,-0.304811,3.141593,1.570796,0.733847
61,-0.966118,3.141593,1.570796,0.497057
62,-0.739181,1.663706,0.092910,0.695672
63,0.167356,0.336294,1.234502,0.709639
64,0.920026,2.336294,0.765498,0.570114
65,0.826829,3.141593,1.570796,0.651680
66,-0.026551,3.141593,1.570796,0.671227
67,-0.855520,3.141593,1.570796,0.631760
68,-0.897928,2.230077,0.659280,0.594645
69,-0.114785,0.230077,1.340720,0.696861
70,0.773891,1.769923,0.199127,0.680762
71,0.951055,3.141593,1.570796,0.525709
72,0.253823,3.141593,1.570796,0.726469
73,-0.676772,3.141593,1.570796,0.716138
74,-0.985146,2.796447,1.225651,0.446250
75,-0.387782,0.796447,0.774349,0.741537
76,0.566108,1.203553,0.367244,0.737181
77,0.999520,3.141593,1.570796,0.357859
78,0.513978,3.141593,1.570796,0.741762
79,-0.444113,3.141593,1.570796,0.743469
80,-0.993889,3.141593,1.570796,0.408569
81,-0.629888,1.362818,0.207978,0.727142
82,0.313229,0.637182,0.933614,0.734876
83,0.968364,2.637182,1.066386,0.492143
84,0.733190,3.141593,1.570796,0.697967
85,-0.176076,3.141593,1.570796,0.711575
86,-0.923458,3.141593,1.570796,0.565867
87,-0.821818,1.929189,0.358392,0.654823
88,0.035398,0.070811,1.499985,0.674032
89,0.860069,2.070811,0.500015,0.628266
90,0.893997,3.141593,1.570796,0.598573
91,0.105988,3.141593,1.570796,0.694539
92,-0.779466,3.141593,1.570796,0.678089
93,-0.948282,2.495559,0.924763,0.530342
94,-0.245252,0.495559,1.075237,0.725039
95,0.683262,1.504441,0.066356,0.714341
96,0.983588,3.141593,1.570796,0.451496
97,0.379608,3.141593,1.570796,0.741028
98,-0.573382,3.141593,1.570796,0.736295
99,-0.999207,3.061930,1.491134,0.363614
100,-0.506366,1.061930,0.508866,0.742185
101,0.452026,0.938070,0.632726,0.743512
102,0.994827,2.938070,1.367274,0.403055
103,0.622989,3.141593,1.570796,0.728487
104,-0.321622,3.141593,1.570796,0.735848
105,-0.970535,3.141593,1.570796,0.487191
106,-0.727143,1.628300,0.057504,0.700208
107,0.184782,0.371700,1.199097,0.713455
108,0.926819,2.371700,0.800903,0.561576
109,0.816743,3.141593,1.570796,0.657915
110,-0.044243,3.141593,1.570796,0.676783
111,-0.864551,3.141593,1.570796,0.624722
112,-0.889996,2.194671,0.623875,0.602453
113,-0.097182,0.194671,1.376125,0.692163
114,0.784980,1.805329,0.234533,0.675363
115,0.945435,3.141593,1.570796,0.534933
116,0.236661,3.141593,1.570796,0.723553
117,-0.689698,3.141593,1.570796,0.712487
118,-0.981952,2.761042,1.190245,0.456707
119,-0.371404,0.761042,0.809755,0.740461
120,0.580611,1.238958,0.331838,0.735351
121,0.998815,3.141593,1.570796,0.369340
122,0.498713,3.141593,1.570796,0.742549
123,-0.459903,3.141593,1.570796,0.743497
124,-0.995687,3.141593,1.570796,0.397509
125,-0.616040,1.327412,0.243384,0.729775
126,0.329991,0.672588,0.898209,0.736761
127,0.972630,2.672588,1.101791,0.482201
128,0.721038,3.141593,1.570796,0.702394
129,-0.193473,3.141593,1.570796,0.715280
130,-0.930106,3.141593,1.570796,0.557241
131,-0.811603,1.893783,0.322987,0.660954
132,0.053084,0.106217,1.464579,0.679482
133,0.868966,2.106217,0.535421,0.621129
134,0.885925,3.141593,1.570796,0.606286
135,0.088369,3.141593,1.570796,0.689733
136,-0.790433,3.141593,1.570796,0.672584
137,-0.942514,2.460154,0.889357,0.539483
138,-0.228052,0.460154,1.110643,0.722010
139,0.696080,1.539846,0.030950,0.710578
140,0.980240,3.141593,1.570796,0.461882
141,0.363171,3.141593,1.570796,0.739836
142,-0.587795,3.141593,1.570796,0.734350
143,-0.998345,3.026524,1.455728,0.375037
144,-0.491022,1.026524,0.544272,0.742855
145,0.467745,0.973476,0.597320,0.743423
146,0.996469,2.973476,1.402680,0.391931
147,0.609044,3.141593,1.570796,0.731005
148,-0.338333,3.141593,1.570796,0.737617
149,-0.974649,3.141593,1.570796,0.477172
150,-0.714876,1.592895,0.022098,0.704524
151,0.202150,0.407105,1.163691,0.717048
152,0.933321,2.407105,0.836309,0.552863
153,0.806401,3.141593,1.570796,0.663943
154,-0.061920,3.141593,1.570796,0.682127
155,-0.873312,3.141593,1.570796,0.617487
156,-0.881785,2.159265,0.588469,0.610072
157,-0.079549,0.159265,1.411531,0.687248
158,0.795824,1.840735,0.269938,0.669753
159,0.939520,3.141593,1.570796,0.543991
160,0.219425,3.141593,1.570796,0.720410
161,-0.702408,3.141593,1.570796,0.708613
162,-0.978450,2.725636,1.154840,0.467021
163,-0.354910,0.725636,0.845160,0.739154
164,0.594933,1.274364,0.296432,0.733291
165,0.997797,3.141593,1.570796,0.380705
166,0.483292,3.141593,1.570796,0.743103
167,-0.475550,3.141593,1.570796,0.743292
168,-0.997173,3.141593,1.570796,0.386324
169,-0.602000,1.292007,0.278790,0.732179
170,0.346649,0.707993,0.862803,0.738416
171,0.976591,2.707993,1.137197,0.472107
172,0.708659,3.141593,1.570796,0.706600
173,-0.210811,3.141593,1.570796,0.718760
174,-0.936462,3.141593,1.570796,0.548440
175,-0.801135,1.858377,0.287581,0.666879
176,0.070752,0.141623,1.429174,0.684719
177,0.877590,2.141623,0.570826,0.613797
178,0.877575,3.141593,1.570796,0.613810
179,0.070722,3.141593,1.570796,0.684710
180,-0.801153,3.141593,1.570796,0.666869
181,-0.936451,2.424748,0.853951,0.548456
182,-0.210781,0.424748,1.146049,0.718754
183,0.708680,1.575252,0.004456,0.706593
184,0.976584,3.141593,1.570796,0.472124
185,0.346621,3.141593,1.570796,0.738413
186,-0.602024,3.141593,1.570796,0.732175
187,-0.997171,2.991118,1.420322,0.386343
188,-0.475524,0.991118,0.579678,0.743292
189,0.483318,1.008882,0.561915,0.743102
190,0.997799,3.008882,1.438085,0.380686
191,0.594909,3.141593,1.570796,0.733295
192,-0.354938,3.141593,1.570796,0.739156
193,-0.978457,3.141593,1.570796,0.467004
194,-0.702386,1.557489,0.013307,0.708620
195,0.219455,0.442511,1.128285,0.720416
196,0.939530,2.442511,0.871715,0.543975
197,0.795806,3.141593,1.570796,0.669763
198,-0.079579,3.141593,1.570796,0.687257
199,-0.881799,3.141593,1.570796,0.610059
200,-0.873297,2.123860,0.553063,0.617500
201,-0.061890,0.123860,1.446937,0.682118
202,0.806418,1.876140,0.305344,0.663933
203,0.933310,3.141593,1.570796,0.552878
204,0.202120,3.141593,1.570796,0.717042
205,-0.714898,3.141593,1.570796,0.704517
206,-0.974642,2.690230,1.119434,0.477189
207,-0.338305,0.690230,0.880566,0.737615
208,0.609068,1.309770,0.261027,0.731001
209,0.996467,3.141593,1.570796,0.391951
210,0.467719,3.141593,1.570796,0.743424
211,-0.491048,3.141593,1.570796,0.742854
212,-0.998347,3.141593,1.570796,0.375018
213,-0.587771,1.256601,0.314195,0.734353
214,0.363199,0.743399,0.827397,0.739839
215,0.980246,2.743399,1.172603,0.461865
216,0.696058,3.141593,1.570796,0.710585
217,-0.228082,3.141593,1.570796,0.722015
218,-0.942525,3.141593,1.570796,0.539468
219,-0.790415,1.822972,0.252175,0.672594
220,0.088399,0.177028,1.393768,0.689741
221,0.885939,2.177028,0.606232,0.606273
222,0.868951,3.141593,1.570796,0.621141
223,0.053053,3.141593,1.570796,0.679473
224,-0.811621,3.141593,1.570796,0.660944
225,-0.930095,2.389342,0.818546,0.557256
226,-0.193444,0.389342,1.181454,0.715274
227,0.721059,1.610658,0.039862,0.702386
228,0.972623,3.141593,1.570796,0.482218
229,0.329962,3.141593,1.570796,0.736758
230,-0.616064,3.141593,1.570796,0.729770
231,-0.995684,2.955713,1.384916,0.397528
232,-0.459877,0.955713,0.615084,0.743497
233,0.498739,1.044287,0.526509,0.742548
234,0.998817,3.044287,1.473491,0.369320
235,0.580587,3.141593,1.570796,0.735354
236,-0.371432,3.141593,1.570796,0.740463
237,-0.981958,3.141593,1.570796,0.456689
238,-0.689676,1.522083,0.048713,0.712494
239,0.236691,0.477917,1.092880,0.723558
240,0.945445,2.477917,0.907120,0.534918
241,0.784962,3.141593,1.570796,0.675373
242,-0.097212,3.141593,1.570796,0.692171
243,-0.890009,3.141593,1.570796,0.602440
244,-0.864536,2.088454,0.517658,0.624734
245,-0.044213,0.088454,1.482342,0.676774
246,0.816760,1.911546,0.340750,0.657904
247,0.926807,3.141593,1.570796,0.561591
248,0.184752,3.141593,1.570796,0.713449
249,-0.727163,3.141593,1.570796,0.700200
250,-0.970528,2.654825,1.084028,0.487208
251,-0.321594,0.654825,0.915972,0.735844
252,0.623012,1.345175,0.225621,0.728482
253,0.994824,3.141593,1.570796,0.403073
254,0.451999,3.141593,1.570796,0.743512
255,-0.506392,3.141593,1.570796,0.742183
256,-0.999208,3.141593,1.570796,0.363594
257,-0.573357,1.221195,0.349601,0.736298
258,0.379636,0.778805,0.791992,0.741030
259,0.983593,2.778805,1.208008,0.451478
260,0.683240,3.141593,1.570796,0.714347
261,-0.245281,3.141593,1.570796,0.725044
262,-0.948292,3.141593,1.570796,0.530326
263,-0.779447,1.787566,0.216769,0.678098
264,0.106017,0.212434,1.358362,0.694547
265,0.894010,2.212434,0.641638,0.598559
266,0.860054,3.141593,1.570796,0.628278
267,0.035368,3.141593,1.570796,0.674022
268,-0.821835,3.141593,1.570796,0.654813
269,-0.923447,2.353936,0.783140,0.565882
270,-0.176046,0.353936,1.216860,0.711569
271,0.733211,1.646064,0.075267,0.697960
272,0.968357,3.141593,1.570796,0.492160
273,0.313200,3.141593,1.570796,0.734873
274,-0.629911,3.141593,1.570796,0.727137
275,-0.993885,2.920307,1.349511,0.408588
276,-0.444086,0.920307,0.650489,0.743469
277,0.514004,1.079693,0.491103,0.741761
278,0.999521,3.079693,1.508897,0.357839
279,0.566083,3.141593,1.570796,0.737184
280,-0.387809,3.141593,1.570796,0.741538
281,-0.985151,3.141593,1.570796,0.446232
282,-0.676750,1.486678,0.084119,0.716144
283,0.253853,0.513322,1.057474,0.726474
284,0.951064,2.513322,0.942526,0.525693
285,0.773872,3.141593,1.570796,0.680771
286,-0.114815,3.141593,1.570796,0.696869
287,-0.897941,3.141593,1.570796,0.594632
288,-0.855504,2.053048,0.482252,0.631772
289,-0.026521,0.053048,1.517748,0.671218
290,0.826846,1.946952,0.376155,0.651670
291,0.920014,3.141593,1.570796,0.570129
292,0.167326,3.141593,1.570796,0.709632
293,-0.739201,3.141593,1.570796,0.695664
294,-0.966110,2.619419,1.048623,0.497074
295,-0.304782,0.619419,0.951377,0.733844
296,0.636761,1.380581,0.190215,0.725735
297,0.992869,3.141593,1.570796,0.414070
298,0.436138,3.141593,1.570796,0.743367
299,-0.521577,3.141593,1.570796,0.741280
300,-0.999756,3.141593,1.570796,0.352057
301,-0.558764,1.185789,0.385007,0.738012
302,0.395953,0.814211,0.756586,0.741989
303,0.986633,2.814211,1.243414,0.440950
304,0.670207,3.141593,1.570796,0.717885
305,-0.262404,3.141593,1.570796,0.727846
306,-0.953762,3.141593,1.570796,0.521018
307,-0.768235,1.752160,0.181364,0.683390
308,0.123603,0.247840,1.322956,0.699136
309,0.901801,2.247840,0.677044,0.590658
310,0.850888,3.141593,1.570796,0.635217
311,0.017672,3.141593,1.570796,0.668361
312,-0.831791,3.141593,1.570796,0.648476
313,-0.916509,2.318531,0.747734,0.574331
314,-0.158593,0.318531,1.252266,0.707641
315,0.745133,1.681469,0.110673,0.693314
316,0.963787,3.141593,1.570796,0.501948
317,0.296340,3.141593,1.570796,0.732757
318,-0.643561,3.141593,1.570796,0.724276
319,-0.991775,2.884901,1.314105,0.419520
320,-0.428155,0.884901,0.685895,0.743207
321,0.529108,1.115099,0.455698,0.740741
322,0.999912,3.115099,1.544302,0.346246
323,0.551402,3.141593,1.570796,0.738782
324,-0.404065,3.141593,1.570796,0.742381
325,-0.988036,3.141593,1.570796,0.435634
326,-0.663611,1.451272,0.119524,0.719570
327,0.270935,0.548728,1.022068,0.729161
328,0.956385,2.548728,0.977932,0.516303
329,0.762539,3.141593,1.570796,0.685956
330,-0.132382,3.141593,1.570796,0.701348
331,-0.905591,3.141593,1.570796,0.586638
332,-0.846204,2.017643,0.446846,0.638613
333,-0.008821,0.017643,1.553154,0.665451
334,0.836672,1.982357,0.411561,0.645231
335,0.912933,3.141593,1.570796,0.578487
336,0.149847,3.141593,1.570796,0.705593
337,-0.751007,3.141593,1.570796,0.690910
338,-0.961389,2.584013,1.013217,0.506784
339,-0.287874,0.584013,0.986783,0.731613
340,0.650311,1.415987,0.154810,0.722760
341,0.990603,3.141593,1.570796,0.424937
342,0.420140,3.141593,1.570796,0.742989
343,-0.536598,3.141593,1.570796,0.740144
344,-0.999990,3.141593,1.570796,0.340409
345,-0.543996,1.150384,0.420413,0.739494
346,0.412146,0.849616,0.721180,0.742715
347,0.989363,2.849616,1.278820,0.430284
348,0.656964,3.141593,1.570796,0.721199
349,-0.279444,3.141593,1.570796,0.730420
350,-0.958933,3.141593,1.570796,0.511547
351,-0.756783,1.716754,0.145958,0.688468
352,0.141150,0.283246,1.287551,0.703505
353,0.909310,2.283246,0.712449,0.582571
354,0.841455,3.141593,1.570796,0.641958
355,-0.000030,3.141593,1.570796,0.662510
356,-0.841487,3.141593,1.570796,0.641935
357,-0.909285,2.283125,0.712329,0.582599
358,-0.141090,0.283125,1.287671,0.703491
359,0.756822,1.716875,0.146079,0.688451
360,0.958916,3.141593,1.570796,0.511579
361,0.279387,3.141593,1.570796,0.730411
362,-0.657009,3.141593,1.570796,0.721188
363,-0.989354,2.849496,1.278699,0.430320
364,-0.412091,0.849496,0.721301,0.742713
365,0.544046,1.150504,0.420292,0.739490
366,0.999990,3.141593,1.570796,0.340449
367,0.536547,3.141593,1.570796,0.740149
368,-0.420194,3.141593,1.570796,0.742991
369,-0.990611,3.141593,1.570796,0.424900
370,-0.650265,1.415866,0.154930,0.722771
371,0.287932,0.584134,0.986663,0.731621
372,0.961406,2.584134,1.013337,0.506751
373,0.750967,3.141593,1.570796,0.690926
374,-0.149907,3.141593,1.570796,0.705607
375,-0.912958,3.141593,1.570796,0.578459
376,-0.836639,1.982237,0.411441,0.645253
377,0.008881,0.017763,1.553033,0.665471
378,0.846236,2.017763,0.446967,0.638590
379,0.905566,3.141593,1.570796,0.586665
380,0.132322,3.141593,1.570796,0.701333
381,-0.762578,3.141593,1.570796,0.685939
382,-0.956367,2.548607,0.977811,0.516335
383,-0.270877,0.548607,1.022189,0.729153
384,0.663656,1.451393,0.119404,0.719559
385,0.988027,3.141593,1.570796,0.435670
386,0.404010,3.141593,1.570796,0.742378
387,-0.551452,3.141593,1.570796,0.738777
388,-0.999911,3.114978,1.544182,0.346286
389,-0.529057,1.114978,0.455818,0.740745
390,0.428210,0.885022,0.685774,0.743208
391,0.991783,2.885022,1.314226,0.419483
392,0.643515,3.141593,1.570796,0.724286
393,-0.296397,3.141593,1.570796,0.732764
394,-0.963803,3.141593,1.570796,0.501915
395,-0.745093,1.681349,0.110552,0.693330
396,0.158652,0.318651,1.252145,0.707654
397,0.916534,2.318651,0.747855,0.574302
398,0.831758,3.141593,1.570796,0.648498
399,-0.017732,3.141593,1.570796,0.668380
400,-0.850919,3.141593,1.570796,0.635194
